pdb_id,status,n_nodes,n_edges,message
4RGN,missing,,,PDB not found in ZIP
6NB6,missing,,,PDB not found in ZIP
6W41,missing,,,PDB not found in ZIP
6WPS,missing,,,PDB not found in ZIP
6XC2,missing,,,PDB not found in ZIP
6XC4,missing,,,PDB not found in ZIP
6XCA,missing,,,PDB not found in ZIP
6XDG,missing,,,PDB not found in ZIP
6XE1,missing,,,PDB not found in ZIP
6XEY,missing,,,PDB not found in ZIP
6XKP,missing,,,PDB not found in ZIP
6XKQ,missing,,,PDB not found in ZIP
6ZCZ,missing,,,PDB not found in ZIP
7AKD,missing,,,PDB not found in ZIP
7B0B,missing,,,PDB not found in ZIP
7B3O,missing,,,PDB not found in ZIP
7BEH,missing,,,PDB not found in ZIP
7BEI,missing,,,PDB not found in ZIP
7BEJ,missing,,,PDB not found in ZIP
7BEL,missing,,,PDB not found in ZIP
7BEM,missing,,,PDB not found in ZIP
7BEN,missing,,,PDB not found in ZIP
7BEO,missing,,,PDB not found in ZIP
7BEP,missing,,,PDB not found in ZIP
7BNV,missing,,,PDB not found in ZIP
7BWJ,missing,,,PDB not found in ZIP
7BYR,missing,,,PDB not found in ZIP
7BZ5,missing,,,PDB not found in ZIP
7C01,missing,,,PDB not found in ZIP
7C2L,missing,,,PDB not found in ZIP
7CAI,missing,,,PDB not found in ZIP
7CDI,missing,,,PDB not found in ZIP
7CDJ,missing,,,PDB not found in ZIP
7CH4,missing,,,PDB not found in ZIP
7CH5,missing,,,PDB not found in ZIP
7CHB,missing,,,PDB not found in ZIP
7CHC,missing,,,PDB not found in ZIP
7CHO,missing,,,PDB not found in ZIP
7CHP,missing,,,PDB not found in ZIP
7CHS,missing,,,PDB not found in ZIP
7CJF,missing,,,PDB not found in ZIP
7CM4,missing,,,PDB not found in ZIP
7CWM,missing,,,PDB not found in ZIP
7CWS,missing,,,PDB not found in ZIP
7CYP,missing,,,PDB not found in ZIP
7CYV,missing,,,PDB not found in ZIP
7CZP,missing,,,PDB not found in ZIP
7CZQ,missing,,,PDB not found in ZIP
7CZR,missing,,,PDB not found in ZIP
7CZT,missing,,,PDB not found in ZIP
7CZU,missing,,,PDB not found in ZIP
7CZW,missing,,,PDB not found in ZIP
7CZX,missing,,,PDB not found in ZIP
7CZY,missing,,,PDB not found in ZIP
7D0B,missing,,,PDB not found in ZIP
7D0C,missing,,,PDB not found in ZIP
7D6I,missing,,,PDB not found in ZIP
7DD2,missing,,,PDB not found in ZIP
7DEO,missing,,,PDB not found in ZIP
7DET,missing,,,PDB not found in ZIP
7DEU,missing,,,PDB not found in ZIP
7DK2,missing,,,PDB not found in ZIP
7DK5,missing,,,PDB not found in ZIP
7DZX,missing,,,PDB not found in ZIP
7DZY,missing,,,PDB not found in ZIP
7E23,missing,,,PDB not found in ZIP
7E39,missing,,,PDB not found in ZIP
7E3B,missing,,,PDB not found in ZIP
7E3C,missing,,,PDB not found in ZIP
7E3K,missing,,,PDB not found in ZIP
7E3L,missing,,,PDB not found in ZIP
7E3O,missing,,,PDB not found in ZIP
7E5O,missing,,,PDB not found in ZIP
7E5Y,missing,,,PDB not found in ZIP
7E7X,missing,,,PDB not found in ZIP
7E7Y,missing,,,PDB not found in ZIP
7E86,missing,,,PDB not found in ZIP
7E88,missing,,,PDB not found in ZIP
7E8C,missing,,,PDB not found in ZIP
7E9P,missing,,,PDB not found in ZIP
7EAM,missing,,,PDB not found in ZIP
7EAN,missing,,,PDB not found in ZIP
7EH5,missing,,,PDB not found in ZIP
7EJ4,missing,,,PDB not found in ZIP
7EJ5,missing,,,PDB not found in ZIP
7EK0,missing,,,PDB not found in ZIP
7ENF,missing,,,PDB not found in ZIP
7EPX,missing,,,PDB not found in ZIP
7EY0,missing,,,PDB not found in ZIP
7EY4,missing,,,PDB not found in ZIP
7EY5,missing,,,PDB not found in ZIP
7EYA,missing,,,PDB not found in ZIP
7EZV,missing,,,PDB not found in ZIP
7F0X,missing,,,PDB not found in ZIP
7F12,missing,,,PDB not found in ZIP
7F15,missing,,,PDB not found in ZIP
7F3Q,missing,,,PDB not found in ZIP
7F7E,missing,,,PDB not found in ZIP
